203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-07-01-04:53 ; 2023-07-01-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-06-11:02 ; 2023-08-06-16:02 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-09-04:53 ; 2023-08-09-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-09-10:25 ; 2023-08-09-15:25 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-12-04:53 ; 2023-08-12-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-12-10:37 ; 2023-08-12-15:37 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-15-04:53 ; 2023-08-15-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-15-11:51 ; 2023-08-15-16:51 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-18-04:53 ; 2023-08-18-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-18-11:26 ; 2023-08-18-16:26 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-21-04:53 ; 2023-08-21-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-21-11:39 ; 2023-08-21-16:39 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-24-04:53 ; 2023-08-24-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-24-10:29 ; 2023-08-24-15:29 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-27-04:53 ; 2023-08-27-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-27-10:46 ; 2023-08-27-15:46 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-08-30-04:53 ; 2023-08-30-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-08-30-11:02 ; 2023-08-30-16:02 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-02-04:53 ; 2023-09-02-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-02-12:37 ; 2023-09-02-17:37 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-05-04:53 ; 2023-09-05-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-05-11:24 ; 2023-09-05-16:24 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-08-04:53 ; 2023-09-08-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-08-11:11 ; 2023-09-08-16:11 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-11-04:53 ; 2023-09-11-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-11-11:58 ; 2023-09-11-16:58 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-14-04:53 ; 2023-09-14-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-14-10:34 ; 2023-09-14-15:34 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-17-04:53 ; 2023-09-17-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-17-11:08 ; 2023-09-17-16:08 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-20-04:53 ; 2023-09-20-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-20-11:19 ; 2023-09-20-16:19 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-23-04:53 ; 2023-09-23-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-23-12:23 ; 2023-09-23-17:23 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-26-04:53 ; 2023-09-26-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-26-11:54 ; 2023-09-26-16:54 ; 2518.0
203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-09-29-04:53 ; 2023-09-29-09:53 ; 2518.0
204К ; Stantsiya Kchery ; Stantsiya Knyazevka ; 2023-09-29-10:59 ; 2023-09-29-15:59 ; 2518.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-01-01:38 ; 2023-05-01-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-01-15:10 ; 2023-05-02-03:26 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-04-01:38 ; 2023-05-04-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-04-15:09 ; 2023-05-05-03:25 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-07-01:38 ; 2023-05-07-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-07-16:30 ; 2023-05-08-04:46 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-10-01:38 ; 2023-05-10-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-10-15:27 ; 2023-05-11-03:43 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-13-01:38 ; 2023-05-13-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-13-15:27 ; 2023-05-14-03:43 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-16-01:38 ; 2023-05-16-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-16-15:21 ; 2023-05-17-03:37 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-19-01:38 ; 2023-05-19-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-19-16:33 ; 2023-05-20-04:49 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-22-01:38 ; 2023-05-22-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-22-15:42 ; 2023-05-23-03:58 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-25-01:38 ; 2023-05-25-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-25-14:51 ; 2023-05-26-03:07 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-28-01:38 ; 2023-05-28-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-28-16:28 ; 2023-05-29-04:44 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-05-31-01:38 ; 2023-05-31-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-05-31-16:13 ; 2023-06-01-04:29 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-03-01:38 ; 2023-06-03-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-03-15:59 ; 2023-06-04-04:15 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-06-01:38 ; 2023-06-06-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-06-15:09 ; 2023-06-07-03:25 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-09-01:38 ; 2023-06-09-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-09-15:51 ; 2023-06-10-04:07 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-12-01:38 ; 2023-06-12-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-12-14:34 ; 2023-06-13-02:50 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-15-01:38 ; 2023-06-15-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-15-15:57 ; 2023-06-16-04:13 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-18-01:38 ; 2023-06-18-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-18-16:28 ; 2023-06-19-04:44 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-21-01:38 ; 2023-06-21-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-21-15:38 ; 2023-06-22-03:54 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-24-01:38 ; 2023-06-24-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-24-16:45 ; 2023-06-25-05:01 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-27-01:38 ; 2023-06-27-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-27-15:34 ; 2023-06-28-03:50 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-06-30-01:38 ; 2023-06-30-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-06-30-14:28 ; 2023-07-01-02:44 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-03-01:38 ; 2023-07-03-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-03-15:24 ; 2023-07-04-03:40 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-06-01:38 ; 2023-07-06-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-06-15:31 ; 2023-07-07-03:47 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-09-01:38 ; 2023-07-09-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-09-15:09 ; 2023-07-10-03:25 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-12-01:38 ; 2023-07-12-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-12-15:13 ; 2023-07-13-03:29 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-15-01:38 ; 2023-07-15-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-15-15:07 ; 2023-07-16-03:23 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-18-01:38 ; 2023-07-18-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-18-14:27 ; 2023-07-19-02:43 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-21-01:38 ; 2023-07-21-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-21-16:14 ; 2023-07-22-04:30 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-24-01:38 ; 2023-07-24-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-24-14:46 ; 2023-07-25-03:02 ; 6184.0
239Х ; Stantsiya Srednesibirskaya ; Stantsiya Staroivanovka ; 2023-07-27-01:38 ; 2023-07-27-13:54 ; 6184.0
240Э ; Stantsiya Staroivanovka ; Stantsiya Srednesibirskaya ; 2023-07-27-15:40 ; 2023-07-28-03:56 ; 6184.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-05-27-08:37 ; 2023-05-28-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-05-28-09:02 ; 2023-05-29-08:25 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-05-30-08:37 ; 2023-05-31-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-05-31-09:55 ; 2023-06-01-09:18 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-02-08:37 ; 2023-06-03-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-03-09:16 ; 2023-06-04-08:39 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-05-08:37 ; 2023-06-06-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-06-10:49 ; 2023-06-07-10:12 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-08-08:37 ; 2023-06-09-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-09-09:08 ; 2023-06-10-08:31 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-11-08:37 ; 2023-06-12-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-12-09:08 ; 2023-06-13-08:31 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-14-08:37 ; 2023-06-15-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-15-08:58 ; 2023-06-16-08:21 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-17-08:37 ; 2023-06-18-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-18-08:43 ; 2023-06-19-08:06 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-20-08:37 ; 2023-06-21-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-21-09:33 ; 2023-06-22-08:56 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-23-08:37 ; 2023-06-24-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-24-09:54 ; 2023-06-25-09:17 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-26-08:37 ; 2023-06-27-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-27-10:10 ; 2023-06-28-09:33 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-06-29-08:37 ; 2023-06-30-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-06-30-08:49 ; 2023-07-01-08:12 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-02-08:37 ; 2023-07-03-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-03-10:15 ; 2023-07-04-09:38 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-05-08:37 ; 2023-07-06-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-06-10:46 ; 2023-07-07-10:09 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-08-08:37 ; 2023-07-09-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-09-10:42 ; 2023-07-10-10:05 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-11-08:37 ; 2023-07-12-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-12-09:20 ; 2023-07-13-08:43 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-14-08:37 ; 2023-07-15-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-15-10:16 ; 2023-07-16-09:39 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-17-08:37 ; 2023-07-18-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-18-08:56 ; 2023-07-19-08:19 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-20-08:37 ; 2023-07-21-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-21-09:12 ; 2023-07-22-08:35 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-23-08:37 ; 2023-07-24-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-24-09:13 ; 2023-07-25-08:36 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-26-08:37 ; 2023-07-27-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-27-09:08 ; 2023-07-28-08:31 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-07-29-08:37 ; 2023-07-30-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-07-30-09:53 ; 2023-07-31-09:16 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-01-08:37 ; 2023-08-02-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-02-08:35 ; 2023-08-03-07:58 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-04-08:37 ; 2023-08-05-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-05-10:10 ; 2023-08-06-09:33 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-07-08:37 ; 2023-08-08-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-08-08:48 ; 2023-08-09-08:11 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-10-08:37 ; 2023-08-11-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-11-09:58 ; 2023-08-12-09:21 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-13-08:37 ; 2023-08-14-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-14-09:10 ; 2023-08-15-08:33 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-16-08:37 ; 2023-08-17-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-17-09:16 ; 2023-08-18-08:39 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-19-08:37 ; 2023-08-20-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-20-08:44 ; 2023-08-21-08:07 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-22-08:37 ; 2023-08-23-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-23-09:19 ; 2023-08-24-08:42 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-25-08:37 ; 2023-08-26-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-26-08:46 ; 2023-08-27-08:09 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-28-08:37 ; 2023-08-29-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-08-29-09:43 ; 2023-08-30-09:06 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-08-31-08:37 ; 2023-09-01-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-01-10:07 ; 2023-09-02-09:30 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-03-08:37 ; 2023-09-04-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-04-10:08 ; 2023-09-05-09:31 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-06-08:37 ; 2023-09-07-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-07-08:34 ; 2023-09-08-07:57 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-09-08:37 ; 2023-09-10-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-10-08:48 ; 2023-09-11-08:11 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-12-08:37 ; 2023-09-13-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-13-10:06 ; 2023-09-14-09:29 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-15-08:37 ; 2023-09-16-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-16-09:20 ; 2023-09-17-08:43 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-18-08:37 ; 2023-09-19-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-19-10:49 ; 2023-09-20-10:12 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-21-08:37 ; 2023-09-22-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-22-10:30 ; 2023-09-23-09:53 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-24-08:37 ; 2023-09-25-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-25-09:19 ; 2023-09-26-08:42 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-27-08:37 ; 2023-09-28-08:00 ; 11782.0
10Д ; Stantsiya Alekseyevka ; Stantsiya Ukraina ; 2023-09-28-09:16 ; 2023-09-29-08:39 ; 11782.0
9С ; Stantsiya Ukraina ; Stantsiya Alekseyevka ; 2023-09-30-08:37 ; 2023-10-01-08:00 ; 11782.0
